id	filename	md5	size	state
00fe71b5-5b99-4e46-a855-0820c3c01eeb	00fe71b5-5b99-4e46-a855-0820c3c01eeb/038193ec-508e-4883-8b19-fe49bfcb4ed4.mirnaseq.mirnas.quantification.txt	a22dea45a33b1a35b842d03f8d2c3d43	50176	validated
015a1675-28a4-4814-80b5-0208ff10dd6a	015a1675-28a4-4814-80b5-0208ff10dd6a/7b17a5e0-2d47-4fd5-9e4b-642084237e1a.mirnaseq.mirnas.quantification.txt	c5d339c1f5a70c437d8c7fc7ff04c272	50337	validated
0211be5c-47ff-4dc0-aed2-eb466487ebcf	0211be5c-47ff-4dc0-aed2-eb466487ebcf/8d02ceb0-ade9-481e-af4f-bcd8834de0de.mirnaseq.mirnas.quantification.txt	950ed8287cac643bfa722a3786267db7	50386	validated
028f432c-4320-45ca-8192-81f381afb862	028f432c-4320-45ca-8192-81f381afb862/c106a118-a7a2-4e96-8b77-25c64de70425.mirnaseq.mirnas.quantification.txt	1ae8317cd1fc0dc9f7e5f443d6e2801f	50290	validated
02dae76c-2426-4b57-b134-1ef2c6942ab2	02dae76c-2426-4b57-b134-1ef2c6942ab2/451e8fb4-ac7b-4c93-8bdc-53b9c2c2c6ed.mirnaseq.mirnas.quantification.txt	e8b28605ebf905c13c6faa2c0300cce9	50266	validated
0346b889-fc88-4d61-8a76-064df843db51	0346b889-fc88-4d61-8a76-064df843db51/05eea1e3-20cb-4392-9a13-ebdd91c6855c.mirnaseq.mirnas.quantification.txt	d2114a873f29c046e93aaa20ffbd26a5	50073	validated
0378720e-7602-4e72-8cc1-5082099dfb7a	0378720e-7602-4e72-8cc1-5082099dfb7a/849ff251-8145-40fe-b363-131639af133f.mirnaseq.mirnas.quantification.txt	1cf7c541e0a44fb5ba66627cb21e6abc	50276	validated
03f31783-e5b6-4557-a1b1-5330aa517c72	03f31783-e5b6-4557-a1b1-5330aa517c72/b5eae048-c349-41ee-a415-8c984adb5adb.mirnaseq.mirnas.quantification.txt	5176065e292c9835ae55c2a7678aa21b	50293	validated
041795c4-56b0-4323-97f8-b1c09ac17f16	041795c4-56b0-4323-97f8-b1c09ac17f16/92d19bef-e020-4eff-9de7-f2f7a044bddd.mirnaseq.mirnas.quantification.txt	6be125b868117f8c4a1e34e4104d31ff	50258	validated
045fe1e4-522d-4fe3-80fa-e22977233c42	045fe1e4-522d-4fe3-80fa-e22977233c42/b49f8214-57bb-492e-92f2-c8594f5e11bc.mirnaseq.mirnas.quantification.txt	5a909d4ea884974e4a9e63b557608021	50247	validated
04ced7b9-3c3a-483c-86d5-f31c01f9da31	04ced7b9-3c3a-483c-86d5-f31c01f9da31/35666451-f7a5-4850-9545-973864ca2427.mirnaseq.mirnas.quantification.txt	497bb0a8ab3e6581f36d3f1f6dc1419a	50148	validated
0516cc0c-855f-47af-b7db-97ac68cbcd39	0516cc0c-855f-47af-b7db-97ac68cbcd39/46aba23e-877c-45bb-a3ba-9ca7fd4d00be.mirnaseq.mirnas.quantification.txt	7244f3f9c6a1432a3dc46a7259bbbcf0	50304	validated
05320b42-72a1-4bc8-ba2c-47f5016be300	05320b42-72a1-4bc8-ba2c-47f5016be300/18d083d4-4f0a-432a-88ee-16b243f6b959.mirnaseq.mirnas.quantification.txt	f5e27735bb85de67e1df4a6a299b846c	50093	validated
05cd57ee-d681-40d7-bfec-6b8a7420b9fe	05cd57ee-d681-40d7-bfec-6b8a7420b9fe/aa402cd1-a7bd-406c-bcba-fc145e9825ee.mirnaseq.mirnas.quantification.txt	9011818c49ca6c3c41d2ac02be3c1f3c	50193	validated
05fc7a46-ce7d-401f-acfb-7ad647c9e21a	05fc7a46-ce7d-401f-acfb-7ad647c9e21a/6aa31d21-377a-407c-b110-68bad16089c7.mirnaseq.mirnas.quantification.txt	346219a9e43bbe015563738fddd24f6e	50055	validated
066adc82-13a4-4012-84c9-34ee21a62f69	066adc82-13a4-4012-84c9-34ee21a62f69/ee3b57ab-04de-4f80-86c5-37cb0b29d2ee.mirnaseq.mirnas.quantification.txt	19118b0310a38387baa38192035c60b6	50195	validated
06b0cb91-a087-4f08-af66-3820b8f3f037	06b0cb91-a087-4f08-af66-3820b8f3f037/35bf2f33-5e2b-4a3e-9f58-26d1e55d4962.mirnaseq.mirnas.quantification.txt	f284696415a9e95589efd8eec6c7658e	50228	validated
06b5f8ff-29ed-4ebc-a8c8-68720fd34eaa	06b5f8ff-29ed-4ebc-a8c8-68720fd34eaa/ffb57bfc-174e-4564-aa4a-a9dd5a235004.mirnaseq.mirnas.quantification.txt	c322be15f5f9a0c9a89904027c65c220	50320	validated
06b90713-14ea-4fae-8a6d-a72de3ac6462	06b90713-14ea-4fae-8a6d-a72de3ac6462/a3371c43-d9db-46b9-b244-0a036876a69b.mirnaseq.mirnas.quantification.txt	d4453dbe4babbc3df589e12abe2efe8d	50315	validated
0736d078-2ee1-43ea-9896-5932828c63bf	0736d078-2ee1-43ea-9896-5932828c63bf/77d41d15-a99b-4f26-892b-0ea1ba201bf9.mirnaseq.mirnas.quantification.txt	a11b30c4bf558229bed5444e20d2ecd2	50366	validated
076a1430-ab29-4cea-b7d0-1d211dc084b8	076a1430-ab29-4cea-b7d0-1d211dc084b8/ad9c7488-7e6f-4a11-98ac-12b2706b91dd.mirnaseq.mirnas.quantification.txt	867f20bba4b5f6728407d41c0e12ce8b	50455	validated
081588af-9cd7-405e-bbe5-a0c1dc97d5cd	081588af-9cd7-405e-bbe5-a0c1dc97d5cd/b9945e22-7c0f-40da-bae1-8bcb439b60eb.mirnaseq.mirnas.quantification.txt	fde318579c3d8075ee68f553db88ad85	50187	validated
08182a15-63e0-4183-aeab-62aca8189708	08182a15-63e0-4183-aeab-62aca8189708/9c766de0-7552-4e15-86d7-01683f88123b.mirnaseq.mirnas.quantification.txt	62a6baa088dc224259a76876166f543a	50325	validated
08988702-f4b2-416e-be3d-62f524fd81a6	08988702-f4b2-416e-be3d-62f524fd81a6/dfd4e3d8-e620-49e6-8e52-daea0a45d194.mirnaseq.mirnas.quantification.txt	b6c6d75da2f7a25c2da5a509cb0125fc	50242	validated
08bfa984-88a9-409e-b1c6-d6bc9f1fe707	08bfa984-88a9-409e-b1c6-d6bc9f1fe707/c2949252-1e9e-49b7-b6a5-18303c23e556.mirnaseq.mirnas.quantification.txt	b092c84fa530944a646833b51e0405e3	50351	validated
0900e0db-e400-4bea-9d2b-32525a95c9e0	0900e0db-e400-4bea-9d2b-32525a95c9e0/0f345352-e9f4-4968-b46e-04cf3a7c1846.mirnaseq.mirnas.quantification.txt	891ec23adafdc87af54a566aedfa4b2e	50311	validated
092cc85f-61b0-4535-8b00-8d1fd0d06934	092cc85f-61b0-4535-8b00-8d1fd0d06934/41b468e3-ca73-43cb-87f3-d8d3c5252e5b.mirnaseq.mirnas.quantification.txt	9b4dc7299c422518fcc97e9f4457cb73	50195	validated
095c9e1e-80ab-4408-88a5-1852c8c40a0a	095c9e1e-80ab-4408-88a5-1852c8c40a0a/6bdfb889-ab9d-4239-ad4d-ebe389129113.mirnaseq.mirnas.quantification.txt	d29d22f1809c35528208a8fe80ed0c43	50327	validated
095cf230-b0c6-4e39-b074-be5c320ff012	095cf230-b0c6-4e39-b074-be5c320ff012/4af36720-bb2f-4a02-bb76-e58e5fb5e3ee.mirnaseq.mirnas.quantification.txt	8189c77498be70938211410810ab041f	50282	validated
096b0237-b63c-42f5-ba1b-b79386fc5849	096b0237-b63c-42f5-ba1b-b79386fc5849/3ea568cd-ba24-4385-bec6-3c284793d308.mirnaseq.mirnas.quantification.txt	c4a6200b0fee68a95613090ea1708e1f	50307	validated
0b87dd6c-de28-414d-9999-f955a9d6730c	0b87dd6c-de28-414d-9999-f955a9d6730c/61e8ffa9-3e85-4391-b1ab-b4c47df65ebf.mirnaseq.mirnas.quantification.txt	d7e3a54ddb21f9535899de40b325eebe	50198	validated
0b8f0969-ce5c-402b-80f4-36548954df06	0b8f0969-ce5c-402b-80f4-36548954df06/2e20bc32-7315-4dc7-b124-88f00781b2b7.mirnaseq.mirnas.quantification.txt	d46f98be8da4862a99506f0ed7d3e824	50017	validated
0c64536e-360f-4342-8add-0ee48b3b3c05	0c64536e-360f-4342-8add-0ee48b3b3c05/3517d3d4-7678-43eb-af8d-7a5779c2cb1b.mirnaseq.mirnas.quantification.txt	0dbb24747ad5c20053fab8b8b9cc4b8e	50282	validated
0c797b92-1cdc-42ad-a95c-4abc4924e3e7	0c797b92-1cdc-42ad-a95c-4abc4924e3e7/f3cab941-b15b-4063-a9a6-7eab122080bc.mirnaseq.mirnas.quantification.txt	05cddcb0dde754b6f0de54c35b6f9310	50138	validated
0c7e02ca-4197-4af7-8833-8a4069b844c4	0c7e02ca-4197-4af7-8833-8a4069b844c4/06568571-7d4a-4d27-9f77-5ffe44453d55.mirnaseq.mirnas.quantification.txt	ef439219bf9fe1e97190ba14860fdf35	50220	validated
0cb92d4b-65d4-4816-87eb-f3b4caae97e5	0cb92d4b-65d4-4816-87eb-f3b4caae97e5/83151b97-6874-41e3-a438-766da2ce127c.mirnaseq.mirnas.quantification.txt	326bb62ba81e73b618744ba0358065dc	50251	validated
